sub_category,product_name,salt_composition,product_price,product_manufactured,medicine_desc,side_effects,drug_interactions
Oral Antidiabetics,Galvus 50mg Tablet,Vildagliptin (50mg),₹254.15,Novartis India Ltd,"Galvus 50mg Tablet is a medicine used to treat type 2 diabetes mellitus. It is used together with a healthy diet and regular exercise to control blood sugar levels. This helps to prevent serious complications of diabetes like kidney damage and blindness.Galvus 50mg Tablet is normally prescribed when diet and exercise alone or other medicines do not prove sufficient to control your blood sugar level. Your doctor may prescribe it alone or in combination with other diabetes medicines. It can be taken with or without food. The dose will depend on your condition and blood sugar levels. Use it strictly as advised by your doctor.You should take it regularly at the same time each day to get the most benefit from it. Do not stop taking the medicine unless your doctor recommends it. This medicine helps you control your blood sugar levels and prevent serious complications in the future. It is important to stay on the diet and exercise program recommended by your doctor while taking this medicine. Your lifestyle plays a big part in controlling diabetes.The most common side effects of this medicine include hypoglycemia, tremor, headache, dizziness, fatigue, and nausea. It is important to recognize the symptoms of hypoglycemia (such as lightheadedness, sweating, dizziness, fainting, and dry mouth) and know how to deal with it. You can carry sugar or glucose candy and have them to control your symptoms if you experience any. Contact your doctor if the side effects if they do not go away or worry you.Before taking this medicine, let your doctor know if you have ever had kidney disease, heart disease, or pancreas problems. Pregnant or breastfeeding women should also consult their doctor before taking it. Some other medicines you are taking may interfere with this medicine's working. So, make sure your doctor knows about all the other medicines you are using. Limit your alcohol intake while taking this medicine because it can increase your risk of developing low blood sugar levels. You may need regular tests such as kidney function and blood glucose levels to check that the medicine is working properly.","Hypoglycemia (low blood glucose level),Tremor,Headache,Dizziness,Fatigue,Nausea","{""drug"": [""Amiloride"", ""Beclometasone"", ""Betamethasone"", ""Chlorthalidone""], ""brand"": ["" Amiur"", "" Becoride, Rhinase, Bevent"", "" Densol, Catrisol, Betaforte"", "" Chlornol""], ""effect"": [""SERIOUS"", ""SERIOUS"", ""SERIOUS"", ""SERIOUS""]}"
Oral Antidiabetics,Glizid-M Tablet,Gliclazide (80mg) + Metformin (500mg),₹118.66,Panacea Biotec Ltd,"Glizid-M Tablet belongs to a category of medicines known as anti-diabetic drugs. It is a combination of two medicines used to treat type 2 diabetes mellitus in adults. It helps control blood sugar levels in people with diabetes.Glizid-M Tablet should be taken with food. Take it regularly at the same time each day to get the most benefit. Your doctor will decide what dose is best for you and this may change from time to time according to how it is working according to your blood sugar levels.Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems and loss of limbs. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Your lifestyle plays a big part in controlling diabetes.The most common side effect of Glizid-M Tablet is low blood glucose levels (hypoglycemia). Make sure you recognize the signs of having low blood glucose levels, such as sweating, dizziness, headache, and shaking and know how to deal with it. To prevent this, it's important to have regular meals and always carry a fast-acting source of glucose such as sugary food or fruit juice with you. Drinking alcohol can also increase your risk of low blood sugar levels and should be avoided. Other side effects that may be seen on taking this medicine include taste changes, nausea, diarrhea, stomach pain, headache, and upper respiratory tract infection. Some people may find that they put on weight with this medicine.You should not take it if you have type 1 diabetes mellitus, if you have diabetic ketoacidosis (high levels of acid in your blood), or if you have severe kidney or liver disease. Before taking this medicine, tell your doctor if you have ever had heart disease. It may not be suitable. Pregnant or breastfeeding women should also consult their doctor before taking it. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function.","Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection","{""drug"": [], ""brand"": [], ""effect"": []}"
Oral Antidiabetics,Glynase-MF Tablet,Glipizide (5mg) + Metformin (500mg),₹14.32,USV Ltd,"Glynase-MF Tablet belongs to a category of medicines known as anti-diabetic drugs. It is a combination of two medicines used to treat type 2 diabetes mellitus in adults. It helps control blood sugar levels in people with diabetes.Glynase-MF Tablet should be taken with food. Take it regularly at the same time each day to get the most benefit. Your doctor will decide what dose is best for you and this may change from time to time according to how it is working according to your blood sugar levels.Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems and loss of limbs. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Your lifestyle plays a big part in controlling diabetes.The most common side effect of Glynase-MF Tablet is low blood glucose levels (hypoglycemia). Make sure you recognize the signs of having low blood glucose levels, such as sweating, dizziness, headache, and shaking and know how to deal with it. To prevent this, it's important to have regular meals and always carry a fast-acting source of glucose such as sugary food or fruit juice with you. Drinking alcohol can also increase your risk of low blood sugar levels and should be avoided. Other side effects that may be seen on taking this medicine include taste changes, nausea, diarrhea, stomach pain, headache, edema (swelling), blurred vision, bone fracture, and upper respiratory tract infection. Some people may find that they put on weight with this medicine.You should not take it if you have type 1 diabetes mellitus, if you have diabetic ketoacidosis (high levels of acid in your blood), or if you have severe kidney or liver disease. Before taking this medicine, tell your doctor if you have ever had heart disease. It may not be suitable. Pregnant or breastfeeding women should also consult their doctor before taking it. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function.","Hypoglycemia (low blood glucose level),Taste change,Nausea,Stomach pain,Diarrhea,Headache,Upper respiratory tract infection","{""drug"": [], ""brand"": [], ""effect"": []}"
Oral Antidiabetics,Jalra-M  50mg/500mg Tablet,Metformin  (500mg) +  Vildagliptin (50mg),₹234.92,USV Ltd,"Jalra-M  50mg/500mg Tablet is a combination of two medicines that control high blood sugar levels in people with type 2 diabetes mellitus. This helps prevent serious complications of diabetes such as kidney damage and blindness and may reduce your chance of having a heart attack or stroke.Jalra-M  50mg/500mg Tablet can be prescribed alone or together with other diabetes medications. All diabetes medicines work best when used along with a healthy diet and regular exercise. The dose you are given will depend on your condition, blood sugar levels, and what other medicines you are taking. Taking it with meals helps to reduce the chances of developing an upset stomach.You should take it regularly, at the same time each day, to get the most benefit and you should not stop unless your doctor recommends it. It is controlling your blood sugar levels and helping to prevent serious complications in the future. It is important to stay on the diet and exercise program recommended by your doctor while taking this medicine. Your lifestyle plays a big part in controlling diabetes.The most common side effects of taking this medicine include diarrhea, nausea, vomiting, upset stomach, headache, and sore throat. Low blood sugar level (hypoglycemia) is a possible side effect if you are also taking other diabetes medicines like insulin or sulphonylurea, so you need to know how to recognize and deal with it.This medicine is not suitable for everyone. Before taking it, you should let your doctor know if you have ever had kidney, liver or heart disease, problems with your pancreas, or if you drink a lot of alcohol. Pregnant or breastfeeding women should also consult their doctor before taking this medicine. Some other medicines can affect this one so tell your doctor about all the medicines you are taking to make sure you are safe. You should try to avoid drinking alcohol as it lowers blood glucose. Your doctor will check your kidney function and blood sugar levels before and during treatment.","Nausea,Vomiting,Diarrhea,Stomach pain,Loss of appetite,Dizziness,Headache,Trembling,Metallic taste,Hypoglycemia (low blood glucose level)","{""drug"": [], ""brand"": [], ""effect"": []}"
Oral Antidiabetics,Sulisent 100mg Tablet,Canagliflozin (100mg),₹466.65,USV Ltd,"Sulisent 100mg Tablet is used alone or in combination with other medicines to treat type 2 diabetes mellitus. It helps control the high blood sugar levels seen in diabetes. This reduces the chances of serious complications of diabetes and also helps prevent heart disease. Sulisent 100mg Tablet can be taken with or without food at any time of day but you should try to take it at the same time every day. The dose will be decided by your doctor. Do not stop taking it without asking your doctor. If you do, your blood sugar levels may increase and put you at risk of serious complications like kidney damage and blindness. This medicine is only part of a treatment program that should include a healthy diet, regular exercise, and weight reduction as advised by your doctor.The most common side effects of this medicine include fungal infection of the vagina, urinary tract infection, and frequent urge to urinate. It may cause the body to lose too much water. Drink plenty of fluids to prevent dehydration. Maintaining good hygiene can help prevent fungal infections in the genital area.Before taking this medicine, inform your doctor if you have any kidney or liver problems or a urinary tract infection or if you are on water pills (diuretics). Pregnant or breastfeeding women should also consult their doctor before taking it. Avoid excessive alcohol intake while taking it as this may increase the risk of developing some side effects. Monitor your blood sugar levels regularly while taking this medicine.","Fungal infection of vagina,Urinary tract infection,Frequent urge to urinate","{""drug"": [""Amiloride"", ""Beclometasone"", ""Betamethasone"", ""Chlorthalidone""], ""brand"": ["" Amiur"", "" Becoride, Rhinase, Bevent"", "" Densol, Catrisol, Betaforte"", "" Chlornol""], ""effect"": [""SERIOUS"", ""SERIOUS"", ""SERIOUS"", ""SERIOUS""]}"
Oral Antidiabetics,Gluconorm SR 500mg Tablet,Metformin (500mg),₹26.77,Lupin Ltd,"Gluconorm SR 500mg Tablet is a medicine used to treat type 2 diabetes mellitus. It helps control blood sugar levels and thus prevent serious complications of diabetes. It is also used to treat menstruation related disorder known as Polycystic ovary syndrome (PCOS) in women.Gluconorm SR 500mg Tablet is best taken with food to avoid nausea and abdominal pain. You should take it regularly, at the same time each day, to get the most benefit. You should not stop taking this medicine unless your doctor recommends it. Your lifestyle plays a big part in controlling diabetes. Therefore, it is important to stay on the diet and exercise program recommended by your doctor while taking this medicine. The most common side effects of this medicine include nausea, vomiting, taste change, diarrhea, abdominal pain, and loss of appetite. Some people may develop hypoglycemia (low blood sugar level) when this medicine is taken along with other antidiabetic medicines, alcohol, or upon skipping a meal. Monitor your blood sugar levels regularly while taking it.Before taking this medicine, inform your doctor if you have any kidney, liver, or heart problems. Pregnant or breastfeeding women should also consult their doctor before taking it. Your doctor will check your kidney function tests before starting treatment with it. Avoid excessive alcohol intake while taking it as this may increase the risk of developing some side effects.","Nausea,Vomiting,Taste change,Diarrhea,Abdominal pain,Loss of appetite","{""drug"": [""Ketotifen"", ""Amiloride"", ""Beclometasone"", ""Betamethasone""], ""brand"": ["" Ketotag, Ketotide, Airyfen"", "" Amiur"", "" Becoride, Rhinase, Bevent"", "" Densol""], ""effect"": [""LIFE-THREATENING"", ""SERIOUS"", ""SERIOUS"", ""SERIOUS""]}"
Oral Antidiabetics,Glykind-M Tablet,Gliclazide (80mg) + Metformin (500mg),₹62.74,Mankind Pharma Ltd,"Glykind-M Tablet belongs to a category of medicines known as anti-diabetic drugs. It is a combination of two medicines used to treat type 2 diabetes mellitus in adults. It helps control blood sugar levels in people with diabetes.Glykind-M Tablet should be taken with food. Take it regularly at the same time each day to get the most benefit. Your doctor will decide what dose is best for you and this may change from time to time according to how it is working according to your blood sugar levels.Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems and loss of limbs. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Your lifestyle plays a big part in controlling diabetes.The most common side effect of Glykind-M Tablet is low blood glucose levels (hypoglycemia). Make sure you recognize the signs of having low blood glucose levels, such as sweating, dizziness, headache, and shaking and know how to deal with it. To prevent this, it's important to have regular meals and always carry a fast-acting source of glucose such as sugary food or fruit juice with you. Drinking alcohol can also increase your risk of low blood sugar levels and should be avoided. Other side effects that may be seen on taking this medicine include taste changes, nausea, diarrhea, stomach pain, headache, and upper respiratory tract infection. Some people may find that they put on weight with this medicine.You should not take it if you have type 1 diabetes mellitus, if you have diabetic ketoacidosis (high levels of acid in your blood), or if you have severe kidney or liver disease. Before taking this medicine, tell your doctor if you have ever had heart disease. It may not be suitable. Pregnant or breastfeeding women should also consult their doctor before taking it. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function.","Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection","{""drug"": [], ""brand"": [], ""effect"": []}"
Oral Antidiabetics,Amaryl M  1mg Tablet PR,Glimepiride (1mg) + Metformin (500mg),₹134.05,Sanofi India  Ltd,"Amaryl M  1mg Tablet PR belongs to a category of medicines known as anti-diabetic drugs. It is a combination of two medicines used to treat type 2 diabetes mellitus in adults. It helps control blood sugar levels in people with diabetes.Amaryl M  1mg Tablet PR should be taken with food. Take it regularly at the same time each day to get the most benefit. Your doctor will decide what dose is best for you and this may change from time to time according to how it is working according to your blood sugar levels.Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems and loss of limbs. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Your lifestyle plays a big part in controlling diabetes.The most common side effect of Amaryl M  1mg Tablet PR is low blood glucose levels (hypoglycemia). Make sure you recognize the signs of having low blood glucose levels, such as sweating, dizziness, headache, and shaking and know how to deal with it. To prevent this, it's important to have regular meals and always carry a fast-acting source of glucose such as sugary food or fruit juice with you. Drinking alcohol can also increase your risk of low blood sugar levels and should be avoided. Other side effects that may be seen on taking this medicine include taste changes, nausea, diarrhea, stomach pain, headache and upper respiratory tract infection. Some people may find that they put on weight with this medicine.You should not take it if you have type 1 diabetes mellitus, if you have diabetic ketoacidosis (high levels of acid in your blood), or if you have severe kidney or liver disease. Before taking this medicine, tell your doctor if you have ever had heart disease. It may not be suitable. Pregnant or breastfeeding women should also consult their doctor before taking it. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function.","Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection","{""drug"": [], ""brand"": [], ""effect"": []}"
Oral Antidiabetics,Galvus 50mg Tablet,Vildagliptin (50mg),₹254.15,Novartis India Ltd,"Galvus 50mg Tablet is a medicine used to treat type 2 diabetes mellitus. It is used together with a healthy diet and regular exercise to control blood sugar levels. This helps to prevent serious complications of diabetes like kidney damage and blindness.Galvus 50mg Tablet is normally prescribed when diet and exercise alone or other medicines do not prove sufficient to control your blood sugar level. Your doctor may prescribe it alone or in combination with other diabetes medicines. It can be taken with or without food. The dose will depend on your condition and blood sugar levels. Use it strictly as advised by your doctor.You should take it regularly at the same time each day to get the most benefit from it. Do not stop taking the medicine unless your doctor recommends it. This medicine helps you control your blood sugar levels and prevent serious complications in the future. It is important to stay on the diet and exercise program recommended by your doctor while taking this medicine. Your lifestyle plays a big part in controlling diabetes.The most common side effects of this medicine include hypoglycemia, tremor, headache, dizziness, fatigue, and nausea. It is important to recognize the symptoms of hypoglycemia (such as lightheadedness, sweating, dizziness, fainting, and dry mouth) and know how to deal with it. You can carry sugar or glucose candy and have them to control your symptoms if you experience any. Contact your doctor if the side effects if they do not go away or worry you.Before taking this medicine, let your doctor know if you have ever had kidney disease, heart disease, or pancreas problems. Pregnant or breastfeeding women should also consult their doctor before taking it. Some other medicines you are taking may interfere with this medicine's working. So, make sure your doctor knows about all the other medicines you are using. Limit your alcohol intake while taking this medicine because it can increase your risk of developing low blood sugar levels. You may need regular tests such as kidney function and blood glucose levels to check that the medicine is working properly.","Hypoglycemia (low blood glucose level),Tremor,Headache,Dizziness,Fatigue,Nausea","{""drug"": [""Amiloride"", ""Beclometasone"", ""Betamethasone"", ""Chlorthalidone""], ""brand"": ["" Amiur"", "" Becoride, Rhinase, Bevent"", "" Densol, Catrisol, Betaforte"", "" Chlornol""], ""effect"": [""SERIOUS"", ""SERIOUS"", ""SERIOUS"", ""SERIOUS""]}"
Oral Antidiabetics,Glizid-M Tablet,Gliclazide (80mg) + Metformin (500mg),₹118.66,Panacea Biotec Ltd,"Glizid-M Tablet belongs to a category of medicines known as anti-diabetic drugs. It is a combination of two medicines used to treat type 2 diabetes mellitus in adults. It helps control blood sugar levels in people with diabetes.Glizid-M Tablet should be taken with food. Take it regularly at the same time each day to get the most benefit. Your doctor will decide what dose is best for you and this may change from time to time according to how it is working according to your blood sugar levels.Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems and loss of limbs. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Your lifestyle plays a big part in controlling diabetes.The most common side effect of Glizid-M Tablet is low blood glucose levels (hypoglycemia). Make sure you recognize the signs of having low blood glucose levels, such as sweating, dizziness, headache, and shaking and know how to deal with it. To prevent this, it's important to have regular meals and always carry a fast-acting source of glucose such as sugary food or fruit juice with you. Drinking alcohol can also increase your risk of low blood sugar levels and should be avoided. Other side effects that may be seen on taking this medicine include taste changes, nausea, diarrhea, stomach pain, headache, and upper respiratory tract infection. Some people may find that they put on weight with this medicine.You should not take it if you have type 1 diabetes mellitus, if you have diabetic ketoacidosis (high levels of acid in your blood), or if you have severe kidney or liver disease. Before taking this medicine, tell your doctor if you have ever had heart disease. It may not be suitable. Pregnant or breastfeeding women should also consult their doctor before taking it. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function.","Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection","{""drug"": [], ""brand"": [], ""effect"": []}"
Oral Antidiabetics,Glynase-MF Tablet,Glipizide (5mg) + Metformin (500mg),₹14.32,USV Ltd,"Glynase-MF Tablet belongs to a category of medicines known as anti-diabetic drugs. It is a combination of two medicines used to treat type 2 diabetes mellitus in adults. It helps control blood sugar levels in people with diabetes.Glynase-MF Tablet should be taken with food. Take it regularly at the same time each day to get the most benefit. Your doctor will decide what dose is best for you and this may change from time to time according to how it is working according to your blood sugar levels.Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems and loss of limbs. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Your lifestyle plays a big part in controlling diabetes.The most common side effect of Glynase-MF Tablet is low blood glucose levels (hypoglycemia). Make sure you recognize the signs of having low blood glucose levels, such as sweating, dizziness, headache, and shaking and know how to deal with it. To prevent this, it's important to have regular meals and always carry a fast-acting source of glucose such as sugary food or fruit juice with you. Drinking alcohol can also increase your risk of low blood sugar levels and should be avoided. Other side effects that may be seen on taking this medicine include taste changes, nausea, diarrhea, stomach pain, headache, edema (swelling), blurred vision, bone fracture, and upper respiratory tract infection. Some people may find that they put on weight with this medicine.You should not take it if you have type 1 diabetes mellitus, if you have diabetic ketoacidosis (high levels of acid in your blood), or if you have severe kidney or liver disease. Before taking this medicine, tell your doctor if you have ever had heart disease. It may not be suitable. Pregnant or breastfeeding women should also consult their doctor before taking it. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function.","Hypoglycemia (low blood glucose level),Taste change,Nausea,Stomach pain,Diarrhea,Headache,Upper respiratory tract infection","{""drug"": [], ""brand"": [], ""effect"": []}"
Oral Antidiabetics,Jalra-M  50mg/500mg Tablet,Metformin  (500mg) +  Vildagliptin (50mg),₹234.92,USV Ltd,"Jalra-M  50mg/500mg Tablet is a combination of two medicines that control high blood sugar levels in people with type 2 diabetes mellitus. This helps prevent serious complications of diabetes such as kidney damage and blindness and may reduce your chance of having a heart attack or stroke.Jalra-M  50mg/500mg Tablet can be prescribed alone or together with other diabetes medications. All diabetes medicines work best when used along with a healthy diet and regular exercise. The dose you are given will depend on your condition, blood sugar levels, and what other medicines you are taking. Taking it with meals helps to reduce the chances of developing an upset stomach.You should take it regularly, at the same time each day, to get the most benefit and you should not stop unless your doctor recommends it. It is controlling your blood sugar levels and helping to prevent serious complications in the future. It is important to stay on the diet and exercise program recommended by your doctor while taking this medicine. Your lifestyle plays a big part in controlling diabetes.The most common side effects of taking this medicine include diarrhea, nausea, vomiting, upset stomach, headache, and sore throat. Low blood sugar level (hypoglycemia) is a possible side effect if you are also taking other diabetes medicines like insulin or sulphonylurea, so you need to know how to recognize and deal with it.This medicine is not suitable for everyone. Before taking it, you should let your doctor know if you have ever had kidney, liver or heart disease, problems with your pancreas, or if you drink a lot of alcohol. Pregnant or breastfeeding women should also consult their doctor before taking this medicine. Some other medicines can affect this one so tell your doctor about all the medicines you are taking to make sure you are safe. You should try to avoid drinking alcohol as it lowers blood glucose. Your doctor will check your kidney function and blood sugar levels before and during treatment.","Nausea,Vomiting,Diarrhea,Stomach pain,Loss of appetite,Dizziness,Headache,Trembling,Metallic taste,Hypoglycemia (low blood glucose level)","{""drug"": [], ""brand"": [], ""effect"": []}"
Oral Antidiabetics,Sulisent 100mg Tablet,Canagliflozin (100mg),₹466.65,USV Ltd,"Sulisent 100mg Tablet is used alone or in combination with other medicines to treat type 2 diabetes mellitus. It helps control the high blood sugar levels seen in diabetes. This reduces the chances of serious complications of diabetes and also helps prevent heart disease. Sulisent 100mg Tablet can be taken with or without food at any time of day but you should try to take it at the same time every day. The dose will be decided by your doctor. Do not stop taking it without asking your doctor. If you do, your blood sugar levels may increase and put you at risk of serious complications like kidney damage and blindness. This medicine is only part of a treatment program that should include a healthy diet, regular exercise, and weight reduction as advised by your doctor.The most common side effects of this medicine include fungal infection of the vagina, urinary tract infection, and frequent urge to urinate. It may cause the body to lose too much water. Drink plenty of fluids to prevent dehydration. Maintaining good hygiene can help prevent fungal infections in the genital area.Before taking this medicine, inform your doctor if you have any kidney or liver problems or a urinary tract infection or if you are on water pills (diuretics). Pregnant or breastfeeding women should also consult their doctor before taking it. Avoid excessive alcohol intake while taking it as this may increase the risk of developing some side effects. Monitor your blood sugar levels regularly while taking this medicine.","Fungal infection of vagina,Urinary tract infection,Frequent urge to urinate","{""drug"": [""Amiloride"", ""Beclometasone"", ""Betamethasone"", ""Chlorthalidone""], ""brand"": ["" Amiur"", "" Becoride, Rhinase, Bevent"", "" Densol, Catrisol, Betaforte"", "" Chlornol""], ""effect"": [""SERIOUS"", ""SERIOUS"", ""SERIOUS"", ""SERIOUS""]}"
Oral Antidiabetics,Gluconorm SR 500mg Tablet,Metformin (500mg),₹26.77,Lupin Ltd,"Gluconorm SR 500mg Tablet is a medicine used to treat type 2 diabetes mellitus. It helps control blood sugar levels and thus prevent serious complications of diabetes. It is also used to treat menstruation related disorder known as Polycystic ovary syndrome (PCOS) in women.Gluconorm SR 500mg Tablet is best taken with food to avoid nausea and abdominal pain. You should take it regularly, at the same time each day, to get the most benefit. You should not stop taking this medicine unless your doctor recommends it. Your lifestyle plays a big part in controlling diabetes. Therefore, it is important to stay on the diet and exercise program recommended by your doctor while taking this medicine. The most common side effects of this medicine include nausea, vomiting, taste change, diarrhea, abdominal pain, and loss of appetite. Some people may develop hypoglycemia (low blood sugar level) when this medicine is taken along with other antidiabetic medicines, alcohol, or upon skipping a meal. Monitor your blood sugar levels regularly while taking it.Before taking this medicine, inform your doctor if you have any kidney, liver, or heart problems. Pregnant or breastfeeding women should also consult their doctor before taking it. Your doctor will check your kidney function tests before starting treatment with it. Avoid excessive alcohol intake while taking it as this may increase the risk of developing some side effects.","Nausea,Vomiting,Taste change,Diarrhea,Abdominal pain,Loss of appetite","{""drug"": [""Ketotifen"", ""Amiloride"", ""Beclometasone"", ""Betamethasone""], ""brand"": ["" Ketotag, Ketotide, Airyfen"", "" Amiur"", "" Becoride, Rhinase, Bevent"", "" Densol""], ""effect"": [""LIFE-THREATENING"", ""SERIOUS"", ""SERIOUS"", ""SERIOUS""]}"
Oral Antidiabetics,Glykind-M Tablet,Gliclazide (80mg) + Metformin (500mg),₹62.74,Mankind Pharma Ltd,"Glykind-M Tablet belongs to a category of medicines known as anti-diabetic drugs. It is a combination of two medicines used to treat type 2 diabetes mellitus in adults. It helps control blood sugar levels in people with diabetes.Glykind-M Tablet should be taken with food. Take it regularly at the same time each day to get the most benefit. Your doctor will decide what dose is best for you and this may change from time to time according to how it is working according to your blood sugar levels.Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems and loss of limbs. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Your lifestyle plays a big part in controlling diabetes.The most common side effect of Glykind-M Tablet is low blood glucose levels (hypoglycemia). Make sure you recognize the signs of having low blood glucose levels, such as sweating, dizziness, headache, and shaking and know how to deal with it. To prevent this, it's important to have regular meals and always carry a fast-acting source of glucose such as sugary food or fruit juice with you. Drinking alcohol can also increase your risk of low blood sugar levels and should be avoided. Other side effects that may be seen on taking this medicine include taste changes, nausea, diarrhea, stomach pain, headache, and upper respiratory tract infection. Some people may find that they put on weight with this medicine.You should not take it if you have type 1 diabetes mellitus, if you have diabetic ketoacidosis (high levels of acid in your blood), or if you have severe kidney or liver disease. Before taking this medicine, tell your doctor if you have ever had heart disease. It may not be suitable. Pregnant or breastfeeding women should also consult their doctor before taking it. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function.","Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection","{""drug"": [], ""brand"": [], ""effect"": []}"
Oral Antidiabetics,Januvia 100mg Tablet,Sitagliptin (100mg),₹267.75,MSD Pharmaceuticals Pvt Ltd,"Januvia 100mg Tablet is a medicine used to treat type 2 diabetes mellitus. It is used together with a healthy diet and regular exercise to control blood sugar levels. This helps to prevent serious complications of diabetes like kidney damage and blindness.Januvia 100mg Tablet is normally prescribed when diet and exercise alone or other medicines do not prove sufficient to control your blood sugar level. Your doctor may prescribe it alone or along with other diabetes medicines. It may be taken on an empty stomach or with a meal. The dose will depend on your condition, and blood sugar levels. Therefore, you should use it as advised by your doctor.You should take it regularly at the same time each day to get the most benefit, and you should not stop unless your doctor recommends it. This medicine is helping you to control your blood sugar levels and prevent serious complications in the future. It is important to stay on the diet and exercise program recommended by your doctor while taking this medicine. Your lifestyle plays a big part in controlling diabetes.The most common side effect of taking this medicine is a headache. This is usually minor and improves with time. Low blood sugar level (hypoglycemia) is a possible side effect if you are also taking other diabetes medicines like insulin or sulfonylurea, so you need to know how to recognize and deal with it. It may also cause upper respiratory tract infections like sore throat, cough, and cold. Contact your doctor if the side effects worry you or if they do not go away.Before taking this medicine, let your doctor know if you have ever had kidney disease, heart or pancreas problems, or if you drink a lot of alcohol. Pregnant or breastfeeding women should also consult their doctor before taking it. Some other medicines you are taking may interfere with this medicine's working. So, make sure your doctor knows about all the other medicines you are using. Limit your alcohol intake while taking this medicine because it can increase your risk of developing low blood sugar levels. You may need regular tests such as kidney function and blood glucose levels to check that the medicine is working properly.","Headache,Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea,Upper respiratory tract infection,Nasopharyngitis (inflammation of the throat and nasal passages)","{""drug"": [""Amiloride"", ""Beclometasone"", ""Betamethasone"", ""Chlorthalidone""], ""brand"": ["" Amiur"", "" Becoride, Rhinase, Bevent"", "" Densol, Catrisol, Betaforte"", "" Chlornol""], ""effect"": [""SERIOUS"", ""SERIOUS"", ""SERIOUS"", ""SERIOUS""]}"
